title,genre,length,year,plot,star,n_vote,box_office,director,cast
Ladies and Gentlewomen,Documentary,47 min,(2017),"The documentary narrated the tale of Tija and Bija, a lesbian couple, believed to be from Rajasthan and also about a Tamil folktale that features the lovers Pappathi and Karupaayi . Apart ...                See full summary »",9.4,49,N/A,[],[]
Fan Club,"Comedy, Drama",N/A,(I) (2016),About a group of people who come together in their love of Australian TV series Prisoner (a.k.a. Prisoner Cell block H).,9.3,40,N/A,['Eva Alfhild Jonsson'],"['Birgitta Linder', 'Eva Alfhild Jonsson', 'Céline Marcault', 'Emelie Ulfeby']"
Listen to Me: Untold Stories Beyond Hatred,Documentary,75 min,(2016),"Being a gay Armenian- American Vahan Bournazian's life is a journey in search for his identity.Bournazian's mother and sister didn't accept his gay identity, but he was the only one to ...                See full summary »",9.2,61,N/A,['Gagik Ghazerah'],"['Armen Aghajanov', 'Garik Amolikyan', 'Karine Avanyan', 'Vahan Bournazian']"
Opulence,"Documentary, Comedy",49 min,(2019),Contra explains how the aesthetic of abundance has been cultivated and co-opted throughout time and throughout society.,9.1,122,N/A,['Natalie Wynn'],"['Natalie Wynn', 'Buck Angel', 'Harry Brewis', 'Shon Faye']"
Are Traps Gay?,N/A,45 min,(I) (2019),Natalie addresses the attraction cismen have towards trans women.,9.1,92,N/A,"['Natalie Wynn', '|']",[]
So Long Suburbia,"Comedy, Drama",64 min,(2016),Add a Plot,9.1,15,N/A,['Samuel Shanahoy'],"['Aliza Bosa', 'Sorrel Corvid', 'Tuesday Ferguson', 'Drew Florczak']"
Neirud,Documentary,72 min,(2023),"Confronting family secrets, I piece together the mysterious life of my aunt Neirud, a former circus wrestler known as ""the Gorilla Woman.""",9.0,8,N/A,[],[]
Envy,Comedy,108 min,(I) (2021),Natalie Wynn addresses the ever so common issue of being envious.,9.0,43,N/A,['Natalie Wynn'],"['Calpernia Addams', 'Derrick Barry', 'Ben Burgis', 'Violet Gray']"
A Worm in the Heart,Documentary,72 min,(2020),"A WORM IN THE HEART details the lives and stories from the LGBTQ+ community across Russia. Shot in six cities along the Trans-Siberian Railway, this documentary details the current state of...                See full summary »",9.0,114,N/A,[],[]
States of Grace,"Documentary, Drama",74 min,(2014),"After surviving a near-fatal head-on collision on the Golden Gate Bridge, a revered physician struggles to come to terms with her injuries and discover new meaning in her radically altered ...                See full summary »",8.9,31,N/A,[],[]
