Year,Title,Character Name,Sex,Gender,Sexual Orientation,Age,Race,Occupation,Role
1990,Europa Europa,Robert Kellerman,Male,Male,Gay,20s,White,Soldier,Supporting
1990,Miller's Crossing,Bernie Bernbaum,Male,Male,Gay,30s,White,Bookkeeper,Supporting
1990,Miller's Crossing,Eddie Dane,Male,Male,Gay,40s,White,Gangster,Antagonist
1990,Miller's Crossing,Mink Larouie,Male,Male,Gay,30s,White,Gangster,Supporting
1990,Q & A,Josè Malpica,Male,Male,Gay,30s,Hispanic,Drag Performer,Supporting
1990,Q & A,Roger Montalvo,Male,Male,Gay,30s,Latino,Lawyer,Supporting
1991,The Adjuster,Larry,Male,Male,Gay,30s,White,Insurance Adjuster,Supporting
1991,Edward II,Edward II,Male,Male,Gay,40s,White,King,Protagonist
1991,Edward II,Piers Gaveston,Male,Male,Gay,30s,White,Noble,Supporting
1991,The Fisher King,Homeless Cabaret Singer,Male,Male,Gay,50s,Black,Performer,Supporting
1991,Frankie and Johnny,Tim,Male,Male,Gay,20s,White,Waiter,Supporting
1991,The Hours and Times,Brian Epstein,Male,Male,Gay,30s,White,Music Manager,Protagonist
1991,JFK,Willie O'Keefe,Male,Male,Bisexual,20s,White,Prisoner,Supporting
1991,JFK,Clay Shaw,Male,Male,Gay,50s,White,Businessman,Antagonist
1991,Madonna: Truth or Dare,Himself,Male,Male,Gay,30s,White,Singer,Other
1991,Madonna: Truth or Dare,Himself,Male,Male,Gay,30s,White,Singer,Other
1991,My Own Private Idaho,Mike Waters,Male,Male,Gay,20s,White,Street Hustler,Protagonist
1991,Naked Lunch,Yves Cloquet,Male,Male,Gay,30s,White,Writer's Muse,Supporting
1991,The Prince of Tides,Eddie Detreville,Male,Male,Gay,40s,White,Designer,Supporting
1991,Queens Logic,Eliot,Male,Male,Gay,30s,White,Photographer,Supporting
1991,Young Soul Rebels,Caz,Male,Male,Gay,20s,Black,DJ,Protagonist
1992,Being at Home with Claude,Yves,Male,Male,Gay,20s,White,Prostitute,Protagonist
1992,Being at Home with Claude,Claude,Male,Male,Gay,20s,White,Prostitute,Protagonist
1992,Inside Monkey Zetterland,Brent Zetterland,Male,Male,Gay,30s,White,Writer,Protagonist
1992,The Living End,Jon,Male,Male,Gay,20s,White,Drifter,Protagonist
1992,The Living End,Luke,Male,Male,Gay,20s,White,Drifter,Protagonist
1992,The Long Day Closes,Bud,Male,Male,Gay,Teens,White,Student,Protagonist
1992,Passed Away,Boyd Pinter,Male,Male,Gay,30s,White,Lawyer,Supporting
