title,studio
American Beauty,DreamWorks Pictures
The Wolf of Wall Street,Paramount Pictures
One Flew Over the Cuckoo's Nest,United Artists
Tropic Thunder,DreamWorks Pictures
Scary Movie,Dimension Films
Independence Day,Twentieth Century Fox
Remember the Titans,Walt Disney Studios Motion Pictures
The Rocky Horror Picture Show,Twentieth Century Fox
Click,Columbia Pictures
8 Mile,Universal Pictures
As Good as It Gets,TriStar Pictures
Borat,Twentieth Century Fox
The Birdcage,United Artists
Sleeping with the Enemy,Twentieth Century Fox
Basic Instinct,TriStar Pictures
American Gangster,Universal Pictures
Anger Management,Columbia Pictures
Miss Congeniality,Warner Bros.
The Silence of the Lambs,Orion Pictures
Crocodile Dundee,Paramount Pictures
Black Swan,Fox Searchlight Pictures
Interview with the Vampire: The Vampire Chronicles,Warner Bros.
The Girl with the Dragon Tattoo,Columbia Pictures
Dodgeball: A True Underdog Story,Twentieth Century Fox
Silver Linings Playbook,The Weinstein Company
GoldenEye,United Artists
Bad Moms,STX Entertainment
