title,year,genre,length,plot,star,n_vote,box_office,director,cast,studio,Company
American Beauty,1999,['Drama'],122 min,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,8.3,1210852,130100000.0,['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",DreamWorks Pictures,Others
Eternals,2021,"['Action', ' Adventure', ' Fantasy']",156 min,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",6.3,386059,164870000.0,['Chloé Zhao'],"['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Salma Hayek']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Elemental,2023,"['Animation', ' Adventure', ' Comedy']",101 min,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",7.0,126287,154430000.0,['Peter Sohn'],"['Leah Lewis', 'Mamoudou Athie', 'Ronnie Del Carmen', 'Shila Ommi']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Free Guy,2021,"['Action', ' Adventure', ' Comedy']",115 min,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",7.1,425509,121630000.0,['Shawn Levy'],"['Ryan Reynolds', 'Jodie Comer', 'Taika Waititi', 'Lil Rel Howery']",20th Century Studios,Others
The Wolf of Wall Street,2013,"['Biography', ' Comedy', ' Crime']",180 min,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,1582886,116900000.0,['Martin Scorsese'],"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']",Paramount Pictures,Paramount Pictures
Avengers: Endgame,2019,"['Action', ' Adventure', ' Drama']",181 min,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,1265504,858370000.0,[],"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
It,2017,"['Fantasy', ' Horror']",135 min,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",7.3,606121,327480000.0,['Andy Muschietti'],"['Bill Skarsgård', 'Jaeden Martell', 'Finn Wolfhard', 'Sophia Lillis']",Warner Bros.,Warner Bros.
One Flew Over the Cuckoo's Nest,1975,['Drama'],133 min,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",8.7,1072227,112000000.0,['Milos Forman'],"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']",United Artists,Others
Knives Out,2019,"['Comedy', ' Crime', ' Drama']",130 min,"A detective investigates the death of the patriarch of an eccentric, combative family.",7.9,773594,165360000.0,['Rian Johnson'],"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis']",Lionsgate Films,Others
Tropic Thunder,2008,"['Action', ' Comedy', ' War']",107 min,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",7.1,447980,110520000.0,['Ben Stiller'],"['Ben Stiller', 'Jack Black', 'Robert Downey Jr.', 'Jeff Kahn']",DreamWorks Pictures,Others
