title,genre,length,year,plot,star,n_vote,box_office,director,cast,keyword
American Beauty,['Drama'],122 min,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,8.3,1210852,130100000.0,['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",queer
Call Me by Your Name,"['Drama', ' Romance']",132 min,2017,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",7.8,315626,18100000.0,['Luca Guadagnino'],"['Timothée Chalamet', 'Armie Hammer', 'Michael Stuhlbarg', 'Amira Casar']",queer
Eternals,"['Action', ' Adventure', ' Fantasy']",156 min,2021,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",6.3,386059,164870000.0,['Chloé Zhao'],"['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Salma Hayek']",queer
The Wizard of Oz,"['Adventure', ' Family', ' Fantasy']",102 min,1939,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",8.1,428575,2080000.0,[],"['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr']",queer
Elemental,"['Animation', ' Adventure', ' Comedy']",101 min,2023,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",7.0,126287,154430000.0,['Peter Sohn'],"['Leah Lewis', 'Mamoudou Athie', 'Ronnie Del Carmen', 'Shila Ommi']",queer
Brokeback Mountain,"['Drama', ' Romance']",134 min,2005,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,7.7,382156,83040000.0,['Ang Lee'],"['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']",queer
Rape Zombie: Lust of the Dead,['Horror'],73 min,2012,"A contagion turns men into violent, sexually aggressive zombies worldwide. Surviving women must fight for survival by finding a way to kill the infected men, possibly humanity's only hope.",3.7,1236,0.0,['Naoyuki Tomomatsu'],"['Rina Aikawa', 'Yui Aikawa', 'Kazuyoshi Akishima', 'Asami']",queer
Ruby Gillman: Teenage Kraken,"['Animation', ' Action', ' Comedy']",91 min,2023,"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.",5.7,10750,0.0,[],"['Jane Fonda', 'Lana Condor', 'Toni Collette', 'Colman Domingo']",queer
"Girl, Interrupted","['Biography', ' Drama']",127 min,1999,"A directionless teenager, Susanna, is rushed to Claymoore, a mental institution, after a supposed suicide attempt. There, she befriends a group of troubled women who deeply influence her life.",7.3,211279,28870000.0,['James Mangold'],"['Winona Ryder', 'Angelina Jolie', 'Clea DuVall', 'Brittany Murphy']",queer
Mysterious Skin,['Drama'],105 min,2004,"Two pre-adolescent boys both experienced a strange event and later it affects their lives in different ways. One becomes a reckless, sexually adventurous prostitute, while the other retreats into a reclusive fantasy of alien abduction.",7.6,76309,700000.0,['Gregg Araki'],"['Brady Corbet', 'Joseph Gordon-Levitt', 'Elisabeth Shue', 'Chase Ellison']",queer
