Year,Title,Character(s),Actor,Notes,Country,Identity
1919,Different from the Others,Paul Körner,"Conrad Veidt
Karl Giese (young)",The first film supportive of homosexuality.,Germany,Gay
1924,Michael,Claude Zoret,Benjamin Christiensen,"Claude is a painter who falls in love with his assistant, Michael. Michael eventually leaves Claude for a woman.",Germany,Gay
1941,The Maltese Falcon,Joel Cairo,Peter Lorre,"In the novel upon which the film is based, Cairo is referred to as ""queer"" and a ""fairy"" but, in the film, his sexuality is not directly addressed, likely a decision by filmmakers to comply with the Hays Code, which banned the depiction of homosexuality in American films.",United States,Gay
1950,All About Eve,Addison DeWitt,George Sanders,"Addison is a gossip columnist who engages in loveless relationship predation.
(The constraints of the Motion Picture Production Code did not allow homosexuality to be portrayed overtly.)",United States,Gay
1955,Rebel Without a Cause,"John ""Plato"" Crawford",Sal Mineo,Plato was brought in for killing a litter of puppies.,United States,Gay
1959,North by Northwest,Leonard,Martin Landau,,United States,Gay
1959,"Suddenly, Last Summer",Sebastian Venable,(Uncredited),,"United Kingdom, United States",Gay
1960,Oscar Wilde,Oscar Wilde,Robert Morley,,United Kingdom,Gay
1960,Spartacus,Crassus,Laurence Olivier,"In a deleted scene, Crassus attempts to seduce his slave Antoninus.",United States,Gay
1961,A Taste of Honey,Geoffrey Ingham,Murray Melvin,,United Kingdom,Gay
1961,Victim,Melville Farr,Dirk Bogarde,"Melville is a barrister threatened with blackmail.
The film is credited for being important in the decriminalization of homosexuality in Britain. It is also the first British film to use the word ""homosexual"" in the narrative.",United Kingdom,Gay
1962,Advise & Consent,"Senator Brigham ""Brig"" Anderson",Don Murray,,United States,Gay
1962,The L-Shaped Room,Johnny,Brock Peters,,United Kingdom,Gay
1962,The Trial,Josef K.,Anthony Perkins,A closeted homosexual.,"France, Italy, West Germany",Gay
1963,Scorpio Rising,Scorpio,Bruce Byron,,United States,Gay
1964,The Leather Boys,Pete,Dudley Sutton,Pete is Reggie's fellow biker friend.,United Kingdom,Gay
1965,Bus Riley's Back in Town,Spencer,Crahan Denton,,United States,Gay
1965,Darling,Robert Gold,Dirk Bogarde,,United Kingdom,Gay
1965,Inside Daisy Clover,Wade Lewis,Robert Redford,An extremely intoxicated Melora Swan reveals to Daisy that she had an affair with closet homosexual Wade.,United States,Gay
1965,King Rat,Steven,Michael Lees,,United States,Gay
1965,The Loved One,Mr. Starker,Liberace,,United States,Gay
1965,The Loved One,Mr. Joyboy,Rod Steiger,,United States,Gay
1965,The Pawnbroker,Rodriguez,Brock Peters,,United States,Gay
1967,Bedazzled,Envy,Barry Humphries,,United Kingdom,Gay
1967,Bedazzled,Vanity,Alba,,United Kingdom,Gay
1967,The Fearless Vampire Killers,Herbert von Krolock,Iain Quarrier,,United States,Gay
1967,The Incident,Kenneth Otis,Robert Fields,,United States,Gay
1967,Portrait of Jason,Himself,Jason Holliday,,United States,Gay
1967,Reflections in a Golden Eye,Major Weldon Pendertis,Marlon Brando,Penderton is a closeted homosexual army Major and husband to Leonora.,United States,Gay
1967,Tony Rome,Nicky,Lloyd Bochner,,United States,Gay
1968,The Anniversary,Henry Taggart,James Cossins,,United Kingdom,Gay
1968,Boom!,The Witch of Capri,Noël Coward,,United Kingdom,Gay
1968,The Boston Strangler,Terence Huntley,Hurd Hatfield,,United States,Gay
1968,Deadfall,Richard,Eric Portman,,United Kingdom,Gay
1968,The Detective,Teddy Leikman,James Inman,,United States,Gay
1968,The Detective,Colin MacIver,William Windom,,United States,Gay
1968,Flesh,The Artist,Maurice Braddell,,United States,Gay
1968,Flesh,David,Louis Waldon,,United States,Gay
1968,Flesh,Joe's Customer,John Christian,,United States,Gay
1968,if....,Wallace,Richard Warwick,,United Kingdom,Gay
1968,if....,Bobby Philips,Rupert Webster,,United Kingdom,Gay
1968,Inadmissible Evidence,Maples,John Normington,"Maples is a distraught client of Barrister, Bill Maitland.",United Kingdom,Gay
1968,Joanna,Lord Peter Sanderson,Donald Sutherland,,United Kingdom,Gay
1968,The Lion in Winter,Philip II of France,Timothy Dalton,,"United States, United Kingdom",Gay
1968,The Lion in Winter,Richard the Lionheart,Anthony Hopkins,,"United States, United Kingdom",Gay
1968,The Mercenary,Ricciolo (Curly),Jack Palance,,"Italy, Spain, United States",Gay
1968,No Way to Treat a Lady,Christopher Gill,Rod Steiger,,United States,Gay
1968,P.J.,Shelton Quell,Severn Darden,,United States,Gay
1968,The Queen,Himself,Flawless Sabrina,,United States,Gay
1968,The Sergeant,Albert Callan,Rod Steiger,,United States,Gay
